date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag,same day year ago,
20090101,1/1/2009,4,1,1,Thursday,Thu,Weekday,1,1,12/29/2008,20081229,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/1/2008,
20090102,1/2/2009,5,2,2,Friday,Fri,Weekday,1,1,12/29/2008,20081229,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/2/2008,
20090103,1/3/2009,6,3,3,Saturday,Sat,Weekend,1,1,12/29/2008,20081229,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/3/2008,
20090104,1/4/2009,7,4,4,Sunday,Sun,Weekend,1,1,12/29/2008,20081229,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/4/2008,
20090105,1/5/2009,1,5,5,Monday,Mon,Weekday,2,2,1/5/2009,20090105,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/5/2008,
20090106,1/6/2009,2,6,6,Tuesday,Tue,Weekday,2,2,1/5/2009,20090105,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/6/2008,
20090107,1/7/2009,3,7,7,Wednesday,Wed,Weekday,2,2,1/5/2009,20090105,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/7/2008,
20090108,1/8/2009,4,8,8,Thursday,Thu,Weekday,2,2,1/5/2009,20090105,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/8/2008,
20090109,1/9/2009,5,9,9,Friday,Fri,Weekday,2,2,1/5/2009,20090105,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/9/2008,
20090110,1/10/2009,6,10,10,Saturday,Sat,Weekend,2,2,1/5/2009,20090105,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/10/2008,
20090111,1/11/2009,7,11,11,Sunday,Sun,Weekend,2,2,1/5/2009,20090105,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/11/2008,
20090112,1/12/2009,1,12,12,Monday,Mon,Weekday,3,3,1/12/2009,20090112,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/12/2008,
20090113,1/13/2009,2,13,13,Tuesday,Tue,Weekday,3,3,1/12/2009,20090112,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/13/2008,
20090114,1/14/2009,3,14,14,Wednesday,Wed,Weekday,3,3,1/12/2009,20090112,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/14/2008,
20090115,1/15/2009,4,15,15,Thursday,Thu,Weekday,3,3,1/12/2009,20090112,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/15/2008,
20090116,1/16/2009,5,16,16,Friday,Fri,Weekday,3,3,1/12/2009,20090112,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/16/2008,
20090117,1/17/2009,6,17,17,Saturday,Sat,Weekend,3,3,1/12/2009,20090112,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/17/2008,
20090118,1/18/2009,7,18,18,Sunday,Sun,Weekend,3,3,1/12/2009,20090112,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/18/2008,
20090119,1/19/2009,1,19,19,Monday,Mon,Weekday,4,4,1/19/2009,20090119,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/19/2008,
20090120,1/20/2009,2,20,20,Tuesday,Tue,Weekday,4,4,1/19/2009,20090119,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/20/2008,
20090121,1/21/2009,3,21,21,Wednesday,Wed,Weekday,4,4,1/19/2009,20090119,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/21/2008,
20090122,1/22/2009,4,22,22,Thursday,Thu,Weekday,4,4,1/19/2009,20090119,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/22/2008,
20090123,1/23/2009,5,23,23,Friday,Fri,Weekday,4,4,1/19/2009,20090119,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/23/2008,
20090124,1/24/2009,6,24,24,Saturday,Sat,Weekend,4,4,1/19/2009,20090119,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/24/2008,
20090125,1/25/2009,7,25,25,Sunday,Sun,Weekend,4,4,1/19/2009,20090119,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/25/2008,
20090126,1/26/2009,1,26,26,Monday,Mon,Weekday,5,5,1/26/2009,20090126,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/26/2008,
20090127,1/27/2009,2,27,27,Tuesday,Tue,Weekday,5,5,1/26/2009,20090126,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/27/2008,
20090128,1/28/2009,3,28,28,Wednesday,Wed,Weekday,5,5,1/26/2009,20090126,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/28/2008,
20090129,1/29/2009,4,29,29,Thursday,Thu,Weekday,5,5,1/26/2009,20090126,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/29/2008,
20090130,1/30/2009,5,30,30,Friday,Fri,Weekday,5,5,1/26/2009,20090126,1,1,January,Jan,1,2009,200901,7,3,2009,Not Month End,1/30/2008,
20090131,1/31/2009,6,31,31,Saturday,Sat,Weekend,5,5,1/26/2009,20090126,1,1,January,Jan,1,2009,200901,7,3,2009,Month End,1/31/2008,
20090201,2/1/2009,7,1,32,Sunday,Sun,Weekend,5,5,1/26/2009,20090126,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/1/2008,
20090202,2/2/2009,1,2,33,Monday,Mon,Weekday,6,6,2/2/2009,20090202,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/2/2008,
20090203,2/3/2009,2,3,34,Tuesday,Tue,Weekday,6,6,2/2/2009,20090202,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/3/2008,
20090204,2/4/2009,3,4,35,Wednesday,Wed,Weekday,6,6,2/2/2009,20090202,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/4/2008,
20090205,2/5/2009,4,5,36,Thursday,Thu,Weekday,6,6,2/2/2009,20090202,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/5/2008,
20090206,2/6/2009,5,6,37,Friday,Fri,Weekday,6,6,2/2/2009,20090202,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/6/2008,
20090207,2/7/2009,6,7,38,Saturday,Sat,Weekend,6,6,2/2/2009,20090202,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/7/2008,
20090208,2/8/2009,7,8,39,Sunday,Sun,Weekend,6,6,2/2/2009,20090202,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/8/2008,
20090209,2/9/2009,1,9,40,Monday,Mon,Weekday,7,7,2/9/2009,20090209,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/9/2008,
20090210,2/10/2009,2,10,41,Tuesday,Tue,Weekday,7,7,2/9/2009,20090209,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/10/2008,
20090211,2/11/2009,3,11,42,Wednesday,Wed,Weekday,7,7,2/9/2009,20090209,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/11/2008,
20090212,2/12/2009,4,12,43,Thursday,Thu,Weekday,7,7,2/9/2009,20090209,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/12/2008,
20090213,2/13/2009,5,13,44,Friday,Fri,Weekday,7,7,2/9/2009,20090209,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/13/2008,
20090214,2/14/2009,6,14,45,Saturday,Sat,Weekend,7,7,2/9/2009,20090209,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/14/2008,
20090215,2/15/2009,7,15,46,Sunday,Sun,Weekend,7,7,2/9/2009,20090209,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/15/2008,
20090216,2/16/2009,1,16,47,Monday,Mon,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/16/2008,
20090217,2/17/2009,2,17,48,Tuesday,Tue,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/17/2008,
20090218,2/18/2009,3,18,49,Wednesday,Wed,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/18/2008,
20090219,2/19/2009,4,19,50,Thursday,Thu,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/19/2008,
20090220,2/20/2009,5,20,51,Friday,Fri,Weekday,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/20/2008,
20090221,2/21/2009,6,21,52,Saturday,Sat,Weekend,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/21/2008,
20090222,2/22/2009,7,22,53,Sunday,Sun,Weekend,8,8,2/16/2009,20090216,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/22/2008,
20090223,2/23/2009,1,23,54,Monday,Mon,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/23/2008,
20090224,2/24/2009,2,24,55,Tuesday,Tue,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/24/2008,
20090225,2/25/2009,3,25,56,Wednesday,Wed,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/25/2008,
20090226,2/26/2009,4,26,57,Thursday,Thu,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/26/2008,
20090227,2/27/2009,5,27,58,Friday,Fri,Weekday,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Not Month End,2/27/2008,
20090228,2/28/2009,6,28,59,Saturday,Sat,Weekend,9,9,2/23/2009,20090223,2,2,February,Feb,1,2009,200902,8,3,2009,Month End,2/28/2008,
20090301,3/1/2009,7,1,60,Sunday,Sun,Weekend,9,9,2/23/2009,20090223,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/1/2008,
20090302,3/2/2009,1,2,61,Monday,Mon,Weekday,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/2/2008,
20090303,3/3/2009,2,3,62,Tuesday,Tue,Weekday,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/3/2008,
20090304,3/4/2009,3,4,63,Wednesday,Wed,Weekday,10,10,3/2/2009,20090302,3,3,March,Mar,1,2009,200903,9,3,2009,Not Month End,3/4/2008,
